Key,Bahasa,English,Monkeng
Menu.Start,Mulai Pemantauan,Start Monitoring,Start Da Watch
Menu.Budget,Duit Operasional,Budget,Banana Stash
Menu.Upgrade,Kelas Online,Upgrade Skill,Moar Powah
Menu.Status,Sistem siap,System Online,System is Onz
Menu.Guide,Tutor,Guide,How 2 Play
Menu.Settings,Setelan,Settings,Weird Button
Menu.EndShift,Cabut,End Shift,Go Sleep
Menu.Alert,Jaga-jaga. Atau bodo amat lah,"Stay Alert. Actually, Do whatever",Keep Eye Openz
Menu.ShiftAccidents,Tabrakan,Accidents,Bonk Crash
Menu.ShiftStress,Tingkat Macet,Traffic Stress,Brain Hurtz
Menu.CarsPassed,Mobil Lewat,Cars Passed,Carz Escaped
